name,version,ecosystem,license,license_file,license_evidence,homepage,repository,source,purl,direct
windows-targets,0.53.3,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows-targets@0.53.3,False
windows_aarch64_gnullvm,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_aarch64_gnullvm@0.52.6,False
windows_aarch64_gnullvm,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_aarch64_gnullvm@0.53.0,False
windows_aarch64_msvc,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_aarch64_msvc@0.52.6,False
windows_aarch64_msvc,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_aarch64_msvc@0.53.0,False
windows_i686_gnu,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_gnu@0.52.6,False
windows_i686_gnu,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_gnu@0.53.0,False
windows_i686_gnullvm,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_gnullvm@0.52.6,False
windows_i686_gnullvm,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_gnullvm@0.53.0,False
windows_i686_msvc,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_msvc@0.52.6,False
windows_i686_msvc,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_i686_msvc@0.53.0,False
windows_x86_64_gnu,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_gnu@0.52.6,False
windows_x86_64_gnu,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_gnu@0.53.0,False
windows_x86_64_gnullvm,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_gnullvm@0.52.6,False
windows_x86_64_gnullvm,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_gnullvm@0.53.0,False
windows_x86_64_msvc,0.52.6,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_msvc@0.52.6,False
windows_x86_64_msvc,0.53.0,cargo,MIT OR Apache-2.0,,,,https://github.com/microsoft/windows-rs,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/windows_x86_64_msvc@0.53.0,False
winnow,0.7.15,cargo,MIT,,,,https://github.com/winnow-rs/winnow,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/winnow@0.7.15,False
winsafe,0.0.19,cargo,MIT,,,,https://github.com/rodrigocfd/winsafe,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/winsafe@0.0.19,False
wit-bindgen-rt,0.39.0,cargo,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,,,https://github.com/bytecodealliance/wit-bindgen,https://github.com/bytecodealliance/wit-bindgen,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/wit-bindgen-rt@0.39.0,False
zeroize,1.8.2,cargo,Apache-2.0 OR MIT,,,https://github.com/RustCrypto/utils/tree/master/zeroize,https://github.com/RustCrypto/utils,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/zeroize@1.8.2,False
zeroize_derive,1.4.2,cargo,Apache-2.0 OR MIT,,,,https://github.com/RustCrypto/utils/tree/master/zeroize/derive,registry+https://github.com/rust-lang/crates.io-index,pkg:cargo/zeroize_derive@1.4.2,False
